item_code,demand_class,target_adi,actual_adi,target_cv2,actual_cv2,target_mean_qty,actual_mean_qty,seed_attempt
K210,smooth,1.0,1.0,0.11,0.087,27.2,24.92,0
K210A,smooth,1.17,1.325,0.33,0.383,2.3,1.92,2
K210B,smooth,1.0,1.0,0.37,0.314,49.8,42.08,0
K210C,lumpy_severe,1.0,1.0,1.14,1.178,28.0,27.17,0
K210D,lumpy,3.84,4.7,1.08,0.745,0.3,0.33,24
K240,erratic,1.24,1.194,0.81,1.04,6.8,6.0,0
K240B,intermittent,1.83,1.938,0.48,0.434,1.6,1.83,1
K250A,smooth,1.0,1.0,0.07,0.069,244.1,242.17,0
K250B,smooth,1.0,1.0,0.27,0.291,56.0,66.0,1
K310,erratic,1.0,1.0,0.16,0.191,1387.8,1472.75,0
K311,smooth,1.0,1.0,0.05,0.046,97.0,112.75,0
K312,smooth,1.0,1.0,0.15,0.142,21.9,22.17,0
K350A,smooth,1.0,1.0,0.12,0.107,10.2,10.25,0
K350B,smooth,1.01,1.0,0.21,0.225,2.2,2.0,1
K350C,smooth,1.03,1.013,0.19,0.206,12.5,10.5,0
K350D,erratic,1.0,1.0,0.62,0.561,12.5,14.33,0
K350E,smooth,1.03,1.039,0.23,0.199,18.0,20.33,0
K350F,smooth,1.01,1.0,0.27,0.209,6.0,5.0,0
T120,smooth,1.0,1.0,0.19,0.236,922.1,753.33,1
T121,smooth,1.0,1.0,0.08,0.087,747.1,742.83,0
T122,erratic,1.0,1.0,0.52,0.537,437.9,474.92,1
T240,smooth,1.0,1.0,0.13,0.128,832.9,817.42,1
T241,lumpy_severe,1.0,1.0,1.24,1.359,22.0,20.5,0
