item_code,item_name,item_category,item_type,unit_price,demand_class,adi,cv2,is_domestic_only,launch_ym
K210,計測ユニット K210,計測ユニット,本体,185000,smooth,1.0,0.11,false,2020-01-31
K210A,計測ユニット K210A,計測ユニット,本体,198000,smooth,1.17,0.33,false,2022-04-30
K210B,計測ユニット K210B,計測ユニット,本体,210000,smooth,1.0,0.37,false,2020-01-31
K210C,計測ユニット K210C,計測ユニット,本体,225000,lumpy_severe,1.0,1.14,false,2020-01-31
K210D,計測ユニット K210D,計測ユニット,本体,240000,lumpy,3.84,1.08,false,2022-10-31
K240,携帯型計測ユニット K240,携帯型計測ユニット,本体,96000,erratic,1.24,0.81,false,2020-01-31
K240B,携帯型計測ユニット K240B,携帯型計測ユニット,本体,108000,intermittent,1.83,0.48,false,2021-07-31
K250A,記録紙 K250A,記録紙,消耗品,1200,smooth,1.0,0.07,false,2020-01-31
K250B,記録紙 K250B (国内仕様),記録紙,消耗品,1350,smooth,1.0,0.27,true,2020-01-31
K310,電極パッド K310,電極パッド,消耗品,480,erratic,1.0,0.16,false,2020-01-31
K311,電極パッド K311,電極パッド,消耗品,520,smooth,1.0,0.05,false,2020-01-31
K312,電極パッド K312,電極パッド,消耗品,560,smooth,1.0,0.15,false,2020-01-31
K350A,接続ケーブル K350A,接続ケーブル,消耗品,8600,smooth,1.0,0.12,true,2020-01-31
K350B,接続ケーブル K350B,接続ケーブル,消耗品,9200,smooth,1.01,0.21,true,2020-01-31
K350C,接続ケーブル K350C,接続ケーブル,消耗品,9800,smooth,1.03,0.19,true,2020-01-31
K350D,接続ケーブル K350D,接続ケーブル,消耗品,10400,erratic,1.0,0.62,true,2020-01-31
K350E,接続ケーブル K350E,接続ケーブル,消耗品,11000,smooth,1.03,0.23,true,2020-01-31
K350F,接続ケーブル K350F,接続ケーブル,消耗品,11600,smooth,1.01,0.27,true,2021-01-31
T120,センサモジュール T120,センサモジュール,消耗品,3400,smooth,1.0,0.19,false,2020-01-31
T121,センサモジュール T121,センサモジュール,消耗品,3600,smooth,1.0,0.08,false,2020-01-31
T122,センサモジュール T122,センサモジュール,消耗品,3800,erratic,1.0,0.52,false,2020-01-31
T240,高精度センサモジュール T240,センサモジュール,消耗品,7200,smooth,1.0,0.13,false,2020-01-31
T241,高精度センサモジュール T241,センサモジュール,消耗品,7800,lumpy_severe,1.0,1.24,false,2020-01-31
