item_code,site_code,standard_lead_time_days
K210,TOKYO_DC,4
K210,OSAKA_DC,4
K210,OVERSEAS_HUB,26
K210A,TOKYO_DC,9
K210A,OSAKA_DC,11
K210A,OVERSEAS_HUB,28
K210B,TOKYO_DC,7
K210B,OSAKA_DC,8
K210B,OVERSEAS_HUB,47
K210C,TOKYO_DC,10
K210C,OSAKA_DC,5
K210C,OVERSEAS_HUB,54
K210D,TOKYO_DC,6
K210D,OSAKA_DC,4
K210D,OVERSEAS_HUB,32
K240,TOKYO_DC,8
K240,OSAKA_DC,9
K240,OVERSEAS_HUB,42
K240B,TOKYO_DC,8
K240B,OSAKA_DC,10
K240B,OVERSEAS_HUB,27
K250A,TOKYO_DC,4
K250A,OSAKA_DC,5
K250A,OVERSEAS_HUB,51
K250B,TOKYO_DC,10
K250B,OSAKA_DC,11
K310,TOKYO_DC,7
K310,OSAKA_DC,8
K310,OVERSEAS_HUB,46
K311,TOKYO_DC,6
K311,OSAKA_DC,9
K311,OVERSEAS_HUB,43
K312,TOKYO_DC,3
K312,OSAKA_DC,4
K312,OVERSEAS_HUB,25
K350A,TOKYO_DC,9
K350A,OSAKA_DC,6
K350B,TOKYO_DC,5
K350B,OSAKA_DC,11
K350C,TOKYO_DC,8
K350C,OSAKA_DC,9
K350D,TOKYO_DC,7
K350D,OSAKA_DC,8
K350E,TOKYO_DC,5
K350E,OSAKA_DC,10
K350F,TOKYO_DC,4
K350F,OSAKA_DC,10
T120,TOKYO_DC,10
T120,OSAKA_DC,9
T120,OVERSEAS_HUB,28
T121,TOKYO_DC,10
T121,OSAKA_DC,7
T121,OVERSEAS_HUB,56
T122,TOKYO_DC,7
T122,OSAKA_DC,7
T122,OVERSEAS_HUB,54
T240,TOKYO_DC,5
T240,OSAKA_DC,10
T240,OVERSEAS_HUB,35
T241,TOKYO_DC,9
T241,OSAKA_DC,10
T241,OVERSEAS_HUB,23
