item_code,channel,target_ym,forecast_run_ym,model_name,p50,lower_bound,upper_bound
K210,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,21,13,32
K210,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K210A,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,78,47,117
K210B,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K210C,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,4,2,6
K210C,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K210D,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K240,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,3,2,5
K240,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,5,3,8
K240B,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,169,101,254
K250A,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,131,79,197
K250B,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,50,30,75
K310,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,523,314,785
K310,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,628,377,942
K311,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,110,66,165
K311,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K312,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,11,7,17
K312,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,5,3,8
K350A,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,9,5,14
K350B,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,1,1,2
K350C,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,11,7,17
K350D,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,4,2,6
K350E,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,18,11,27
K350F,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
T120,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,911,547,1367
T120,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,1176,706,1764
T121,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,310,186,465
T121,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,298,179,447
T122,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,547,328,821
T122,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
T240,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,611,367,917
T240,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
T241,DOM,2021-01-31,2020-12-31,baseline_seasonal_naive,7,4,11
T241,EXP,2021-01-31,2020-12-31,baseline_seasonal_naive,0,0,0
K210,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,23,14,35
K210,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K210A,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K210A,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K210B,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,21,13,32
K210B,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K210C,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,2,1,3
K210C,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,4,2,6
K210D,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K210D,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K240,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K240,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K240B,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K240B,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K250A,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,129,77,194
K250A,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,99,59,149
K250B,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,132,79,198
K310,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,1230,738,1845
K310,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K311,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,103,62,155
K311,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K312,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,29,17,44
K312,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
K350A,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,11,7,17
K350B,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,1,1,2
K350C,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,6,4,9
K350D,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,7,4,11
K350E,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,19,11,29
K350F,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
T120,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,590,354,885
T120,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,762,457,1143
T121,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,865,519,1298
T121,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,0,0,0
T122,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,95,57,143
T122,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,143,86,215
T240,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,229,137,344
T240,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,255,153,383
T241,DOM,2021-02-28,2021-01-31,baseline_seasonal_naive,2,1,3
T241,EXP,2021-02-28,2021-01-31,baseline_seasonal_naive,3,2,5
