商品コード,年月,数量
A-100,2024年1月,"2,155"
A-100,2024年2月,"2,721"
A-100,2024年3月,"2,671"
A-100,2024年4月,"3,058"
A-100,2024年5月,"2,328"
A-100,2024年6月,"2,411"
A-100,2024年7月,"2,471"
A-100,2024年8月,"2,092"
A-100,2024年9月,"2,063"
A-100,2024年10月,"2,067"
A-100,2024年11月,"2,050"
A-100,2024年12月,"2,047"
A-100,2025年1月,"2,384"
A-100,2025年2月,"2,269"
A-100,2025年3月,"2,433"
A-100,2025年4月,"3,000"
A-100,2025年5月,"2,807"
A-100,2025年6月,"2,602"
A-100,2025年7月,"2,459"
A-100,2025年8月,"2,341"
A-100,2025年9月,"2,055"
A-100,2025年10月,"1,579"
A-100,2025年11月,"2,038"
A-100,2025年12月,"2,750"
A-100,2026年1月,"2,780"
A-100,2026年2月,"2,432"
A-100,2026年3月,"2,885"
A-100,2026年4月,"2,970"
A-100,2026年5月,"2,946"
A-100,2026年6月,"2,381"
A-200,2024年1月,845
A-200,2024年2月,"1,119"
A-200,2024年3月,"1,174"
A-200,2024年4月,895
A-200,2024年5月,"1,300"
A-200,2024年6月,"1,155"
A-200,2024年7月,"1,057"
A-200,2024年8月,"1,160"
A-200,2024年9月,"1,093"
A-200,2024年10月,"1,157"
A-200,2024年11月,877
A-200,2024年12月,"1,026"
A-200,2025年1月,"1,113"
A-200,2025年2月,"1,242"
A-200,2025年3月,"1,200"
A-200,2025年4月,"1,263"
A-200,2025年5月,"1,461"
A-200,2025年6月,"1,058"
A-200,2025年7月,"1,231"
A-200,2025年8月,718
A-200,2025年9月,970
A-200,2025年10月,"1,273"
A-200,2025年11月,"1,262"
A-200,2025年12月,"1,132"
A-200,2026年1月,"1,551"
A-200,2026年2月,"1,782"
A-200,2026年3月,"1,826"
A-200,2026年4月,"2,349"
A-200,2026年5月,"1,813"
A-200,2026年6月,"1,778"
B-310,2024年1月,42
B-310,2024年2月,92
B-310,2024年3月,36
B-310,2024年4月,53
B-310,2024年5月,99
B-310,2024年6月,50
B-310,2024年7月,0
B-310,2024年8月,47
B-310,2024年9月,91
B-310,2024年10月,26
B-310,2024年11月,15
B-310,2024年12月,67
B-310,2025年1月,2
B-310,2025年2月,72
B-310,2025年3月,106
B-310,2025年4月,51
B-310,2025年5月,35
B-310,2025年6月,55
B-310,2025年7月,63
B-310,2025年8月,54
B-310,2025年9月,70
B-310,2025年10月,42
B-310,2025年11月,54
B-310,2025年12月,105
B-310,2026年1月,70
B-310,2026年2月,66
B-310,2026年3月,103
B-310,2026年4月,85
B-310,2026年5月,57
B-310,2026年6月,78
C-900,2024年1月,0
C-900,2024年2月,0
C-900,2024年3月,33
C-900,2024年4月,0
C-900,2024年5月,30
C-900,2024年6月,0
C-900,2024年7月,33
C-900,2024年8月,0
C-900,2024年9月,3
C-900,2024年10月,15
C-900,2024年11月,24
C-900,2024年12月,0
C-900,2025年1月,34
C-900,2025年2月,0
C-900,2025年3月,18
C-900,2025年4月,0
C-900,2025年5月,17
C-900,2025年6月,38
C-900,2025年7月,32
C-900,2025年8月,29
C-900,2025年9月,16
C-900,2025年10月,38
C-900,2025年11月,0
C-900,2025年12月,15
C-900,2026年1月,22
C-900,2026年2月,15
C-900,2026年3月,16
C-900,2026年4月,15
C-900,2026年5月,0
C-900,2026年6月,30
