item_code,channel,ym,qty
K210,DOM,2026-08-31,22
K210,EXP,2026-08-31,0
K210A,DOM,2026-08-31,2
K210A,EXP,2026-08-31,0
K210B,DOM,2026-08-31,26
K210B,EXP,2026-08-31,0
K210C,DOM,2026-08-31,17
K210C,EXP,2026-08-31,29
K210D,DOM,2026-08-31,0
K210D,EXP,2026-08-31,0
K240,DOM,2026-08-31,2
K240,EXP,2026-08-31,3
K240B,DOM,2026-08-31,0
K240B,EXP,2026-08-31,0
K250A,DOM,2026-08-31,107
K250A,EXP,2026-08-31,83
K250B,DOM,2026-08-31,40
K310,DOM,2026-08-31,878
K310,EXP,2026-08-31,1054
K311,DOM,2026-08-31,158
K311,EXP,2026-08-31,0
K312,DOM,2026-08-31,9
K312,EXP,2026-08-31,4
K350A,DOM,2026-08-31,17
K350B,DOM,2026-08-31,2
K350C,DOM,2026-08-31,7
K350D,DOM,2026-08-31,45
K350E,DOM,2026-08-31,24
K350F,DOM,2026-08-31,5
T120,DOM,2026-08-31,601
T120,EXP,2026-08-31,0
T121,DOM,2026-08-31,759
T121,EXP,2026-08-31,0
T122,DOM,2026-08-31,339
T122,EXP,2026-08-31,0
T240,DOM,2026-08-31,582
T240,EXP,2026-08-31,0
T241,DOM,2026-08-31,5
T241,EXP,2026-08-31,0
